n_features,n_samples,embedding_dim,sigma_theta,sigma_Z,sample_cov_SSE,sample_cov_RMSE,ledoit_wolf_SSE,ledoit_wolf_RMSE,latent_model_SSE,latent_model_RMSE
5,50,10,1.0,1.0,151.14612555691883,2.458830010854096,101.81200632372692,2.018038714432673,22.90065156965984,0.9570925048219704
5,50,10,1.0,1.0,30.19288939662384,1.098961134829141,13.928800630367896,0.7464261686293667,56.988538573138605,1.5098150691146066
5,50,10,1.0,1.0,145.82735080691276,2.4151799171648705,100.91778965571584,2.00915693419619,164.4212740562311,2.56453718285566
5,50,10,1.0,1.0,31.197074655021463,1.117086830197572,13.39270860559664,0.7319209958894918,75.13115471996193,1.7335645903162875
5,50,10,1.0,1.0,26.6245613616488,1.0319798711534791,22.719438684908035,0.9532982468232706,57.988241588243696,1.5230002178364086
10,50,10,1.0,1.0,161.70987185660138,1.2716519644014292,150.9962840193241,1.228805452540491,307.19531080437065,1.7526988069955738
10,50,10,1.0,1.0,416.8123876849796,2.0415983632560533,283.6046226002978,1.684056479457556,372.2899517126215,1.929481670585708
10,50,10,1.0,1.0,293.8259608453579,1.7141352363374305,274.44902411629926,1.6566503074466237,451.8718702553821,2.125727805377213
10,50,10,1.0,1.0,216.07069100770136,1.469934321688222,141.13483864352173,1.1880018461413338,167.12893001074465,1.2927835472759723
10,50,10,1.0,1.0,102.78994738828364,1.013853773422399,85.27768062264126,0.9234591524406548,350.9060814632172,1.8732487327186889
10,50,10,1.0,1.0,188.6290160631061,1.3734227901964715,181.0655564018972,1.3456060210994043,344.2131990665428,1.8552983562396177
10,50,10,1.0,1.0,208.1788821662066,1.4428405392357346,187.8082014733645,1.370431324340496,403.08991215225,2.007709919665314
10,50,10,1.0,1.0,304.2732141279343,1.7443428967033237,387.8190315972661,1.969312142849036,726.5621214261322,2.6954816293681767
10,50,10,1.0,1.0,336.6700597656463,1.8348571055143403,233.1414365873821,1.5268969729074129,495.3090550604375,2.225553987348853
10,50,10,1.0,1.0,220.92268001874865,1.4863467967427677,178.21386112224565,1.3349676442605105,524.6846180872516,2.2905995243325523
25,50,10,1.0,1.0,1377.69564898153,1.4846929104600883,1378.339743955497,1.4850399288668283,6748.005051433414,3.2858496743298327
25,50,10,1.0,1.0,1329.687920553727,1.4585954452438017,1364.6564629345526,1.4776502768569038,5238.968166132801,2.895228672456198
25,50,10,1.0,1.0,1448.9198487614588,1.5225871922547929,1450.924447436959,1.5236400873891232,8364.762355063833,3.658362990205063
25,50,10,1.0,1.0,2306.8979230248005,1.921207088483613,1985.4998867357604,1.782357937894972,7370.075352545554,3.43396571969973
25,50,10,1.0,1.0,2330.166875139312,1.930872082822396,2431.825768361435,1.972541819424444,8412.803767877385,3.668853503290069
25,50,10,1.0,1.0,1397.815531981578,1.4954948516028148,1607.619680419802,1.6038053150777631,6761.367375994456,3.289101366876845
25,50,10,1.0,1.0,1699.138940612045,1.6488245221912707,1847.431179517473,1.719270161210261,5567.936294277652,2.984744222013713
25,50,10,1.0,1.0,1037.0541082510804,1.28813297962661,843.2106075259435,1.16152355638683,4103.201929838203,2.5622496146435707
25,50,10,1.0,1.0,2193.400880889088,1.873350316791428,1579.5050741056275,1.5897195094006378,7297.863745293751,3.417101402134564
25,50,10,1.0,1.0,794.8635653194592,1.127732993447977,734.7035815077551,1.084216643670631,4698.36524095581,2.741784890455357
50,50,10,1.0,1.0,4703.426966225723,1.371630703392968,3814.7295483194575,1.2352699378386018,22328.6420202644,2.988554300678801
50,50,10,1.0,1.0,4566.785882030457,1.351559970113122,5046.338390655676,1.4207516870524106,27039.740878678407,3.28875300858416
50,50,10,1.0,1.0,4416.299760198398,1.329104925910426,4177.318718781244,1.2926436042128926,16523.132913007008,2.570846779798984
50,50,10,1.0,1.0,6254.630726927608,1.5817244673997564,4481.915672957332,1.3389422202555763,25701.11793932493,3.206313642757048
50,50,10,1.0,1.0,3711.056067830853,1.2183687566300858,2746.6073583889097,1.0481616971419838,22315.987405618784,2.987707308664541
50,50,10,1.0,1.0,5873.369100353246,1.5327581805820834,4808.895649578618,1.3869240281397703,25176.003821159986,3.1733895960729424
50,50,10,1.0,1.0,6524.992203021714,1.6155484768983832,6768.067081674104,1.6453652581325646,27562.972392281776,3.320419997065539
50,50,10,1.0,1.0,4468.881629912135,1.3369938862855186,3806.645112517405,1.233960309332096,21093.57330791964,2.904725343843692
50,50,10,1.0,1.0,5503.444757559728,1.4837041157265458,5205.594499647246,1.4429961191420089,22930.81763533435,3.0285849920604404
50,50,10,1.0,1.0,4314.26873659705,1.3136618646511815,4503.055947521649,1.3420962629441524,20655.170025121755,2.874381326485528
500,50,10,1.0,1.0,827108.4105180682,1.8189100148364328,711414.4531934469,1.686907766528386,2807108.261386332,3.350885412177701
